author:	Mlewandowska
date:	2019-07-06 18:06	2019-07-08 11:55
concentration = 0.05, size: 300x300
distribution: Gauss	scale: 1.0
init_number_X = 50, init_number_Y = 4500	n_links = 0
k1 = 1, k2 = 1, beta = 0, lambd = 1.0
number of simulations k = 100, number of iterations n = 5000
range sampling: [0, 5, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]

0,1,6,19,32,44,56,69,82,95,108,122,133,147,159,171,185,
0,1,6,20,33,45,59,70,82,95,108,120,132,145,157,170,182,
0,1,6,20,33,45,58,72,84,96,110,123,135,147,161,172,185,
0,1,7,20,32,45,59,72,83,96,108,119,133,147,161,173,185,
0,1,6,20,32,45,58,72,83,96,110,122,134,147,159,172,184,
0,1,6,19,31,44,56,69,82,95,109,121,134,146,159,172,183,
0,1,6,19,32,45,58,71,83,96,108,123,136,147,160,172,185,
0,1,7,20,33,46,59,71,84,96,108,122,136,149,161,174,186,
0,1,6,20,33,45,58,71,84,96,109,122,135,147,159,172,185,
0,1,6,19,31,44,54,68,82,95,107,120,133,146,157,170,184,
0,1,7,20,33,46,58,71,83,95,107,120,133,145,157,171,185,
0,1,6,19,32,44,56,70,83,94,108,119,132,145,157,171,185,
0,1,6,18,30,42,55,67,82,95,108,121,132,145,157,169,181,
0,1,5,19,31,46,57,70,83,95,108,121,133,146,157,170,184,
0,1,7,20,33,46,58,70,82,96,109,121,134,146,160,172,185,
0,1,7,19,31,45,57,71,84,96,108,123,135,146,159,172,186,
0,1,5,19,33,46,58,72,85,97,110,121,135,148,160,174,187,
0,1,7,21,33,44,58,71,83,96,109,122,135,147,160,172,183,
0,1,6,19,32,43,56,70,82,95,106,120,134,146,159,171,185,
0,1,6,19,31,45,58,72,85,97,110,122,134,146,159,172,184,
0,1,5,18,31,45,57,70,82,97,109,121,134,146,159,170,181,
0,1,6,19,32,44,59,72,84,96,109,122,133,146,158,171,183,
0,1,6,19,32,44,55,68,82,95,107,119,130,144,157,169,181,
0,1,6,19,33,45,57,69,82,96,110,122,133,147,160,172,185,
0,1,6,20,34,46,58,71,84,97,111,123,137,149,162,174,186,
0,1,6,19,33,46,59,71,84,98,111,122,136,147,159,172,183,
