author:	no one
date:	None
concentration = 0.1, size: 100x100
distribution: Laplace	scale: 1.3
init_number_X = 50, init_number_Y = 1000	n_links = 100
k1 = 1.0, k2 = 1.0, beta = 0.0, lambd = 0.3
number of simulations k = 40, number of iterations n = 1000
range sampling: [0, 5, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100]

0,1,2,3,4,5,15,59,59,
0,1,2,3,4,5,6,54,54,
0,1,6,7,8,9,31,58,58,
0,1,6,7,8,9,10,49,49,
0,1,2,3,4,5,6,19,19,
0,1,2,3,4,10,20,47,47,
0,1,3,4,5,8,24,59,59,
0,1,13,19,20,21,29,83,83,
0,1,4,5,6,7,41,59,59,
0,1,17,18,19,20,39,44,44,
0,1,2,3,4,5,52,78,78,
0,1,8,9,10,11,12,51,51,
0,1,5,6,34,35,37,76,76,
0,1,2,3,6,7,24,47,47,
0,1,2,14,15,16,17,36,36,
0,1,6,7,8,30,59,71,71,
0,1,2,3,4,5,6,34,34,
0,1,2,3,4,22,45,61,61,
0,1,4,5,6,7,8,19,19,
0,1,2,3,4,5,6,17,17,
0,1,12,13,14,15,40,58,58,
0,1,2,3,4,12,13,38,
0,1,15,16,17,80,103,130,
0,1,2,3,4,5,65,92,
0,1,5,6,10,16,17,67,
0,1,8,9,10,27,29,134,
0,1,3,4,5,6,26,43,
0,1,2,3,4,5,8,64,
0,1,2,7,8,9,18,52,
0,1,2,3,4,5,58,102,
0,1,12,13,14,15,16,25,
0,1,2,3,4,5,44,44,
0,1,18,43,44,48,57,59,
0,1,2,3,4,5,6,48,
0,1,6,7,8,9,10,65,
0,1,18,33,34,35,67,124,
0,1,17,39,40,41,43,43,
0,1,4,5,6,32,76,76,
0,0,0,0,0,0,0,0,
0,1,2,3,16,17,18,36,
0,1,9,12,13,21,49,96,
0,2,3,4,11,20,32,92,
0,1,2,3,4,5,6,110,
0,1,21,25,40,50,51,68,
0,1,3,4,5,6,39,102,
0,1,10,11,12,13,14,84,
0,1,2,3,4,5,6,36,
0,3,22,23,23,23,23,23,
0,1,19,20,24,35,66,108,
0,1,2,3,4,5,6,43,
0,1,17,18,19,23,27,67,
0,1,2,3,4,7,7,7,
0,0,0,0,0,0,0,0,
0,1,2,3,4,11,12,48,
0,1,2,3,4,18,42,47,
0,1,2,3,4,5,31,56,
0,1,3,4,5,6,33,84,
0,1,11,11,11,11,11,11,
0,1,5,6,7,8,36,36,

