C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3
5000,229,5000,85,5000,5000,4426,130,5000,1850,5000,5000,4608,410,5000,2045,5000,4901,3944,170,5000,325,4901,5000,4709,130,5000,445,5000,2173,2925,104,3944,445,4802,1157,1109,157,1385,245,1665,233,325,37,370,100,340,101,137,49,130,58,148,74
5000,89,5000,2516,5000,5000,4513,232,4901,2330,5000,4901,4901,340,5000,3321,5000,5000,4436,610,5000,1157,5000,5000,4804,914,5000,1444,4901,2677,3656,205,3697,554,4608,544,1321,125,1440,261,1530,409,260,89,333,130,328,85,137,45,130,68,130,68
3770,226,4901,3560,5000,4901,4901,2756,5000,325,5000,5000,4901,117,5000,1730,4901,5000,3362,101,5000,1665,5000,5000,4100,306,5000,1666,5000,2756,3092,64,4426,584,4709,757,269,148,1360,328,1513,317,234,89,277,85,370,125,125,41,145,68,145,45
2824,218,4901,584,5000,4901,3524,104,5000,4349,4804,4901,5000,673,4901,1321,5000,4804,3904,178,5000,324,4901,5000,4525,458,5000,1801,5000,2344,3026,58,4021,605,4610,725,1082,104,1394,265,1762,377,290,41,290,80,365,109,113,45,146,82,130,41
1586,325,4901,1322,4901,5000,596,97,5000,3461,5000,4802,4901,164,5000,2762,5000,5000,4181,185,4901,577,5000,4901,4001,1250,4901,585,4901,1682,3653,122,4240,773,4709,685,325,169,1332,269,1625,314,260,68,333,65,401,100,104,53,137,50,130,41
4901,425,5000,109,5000,4901,3125,109,5000,1285,5000,5000,3973,180,5000,3301,5000,4901,997,160,5000,2633,5000,4901,4901,170,5000,241,5000,2482,1156,425,4616,484,4616,776,1157,232,1321,173,1682,229,317,58,362,125,340,104,145,50,148,68,125,53
4901,169,5000,485,5000,4901,5000,320,5000,4802,5000,5000,5000,500,5000,4709,4901,4901,4709,130,5000,2930,5000,5000,4250,145,5000,1901,5000,2824,3077,313,4100,482,4616,898,1274,157,1450,169,1690,269,333,89,288,100,441,153,153,65,130,50,117,68
3700,626,4901,725,5000,4901,1481,337,4901,325,4901,5000,4709,281,4901,833,5000,5000,4325,226,5000,185,5000,4901,2929,333,5000,250,5000,2809,2741,130,3961,554,4610,610,848,229,1433,180,1565,289,362,68,370,90,425,89,144,53,145,65,125,73
3626,625,5000,370,5000,5000,4165,360,5000,2941,5000,4901,4436,277,5000,1172,5000,4901,4802,53,5000,1417,5000,4709,4436,242,4901,793,5000,2725,2386,125,3944,370,4804,685,1066,226,1369,305,1717,265,340,101,400,113,353,125,130,53,145,61,148,53
450,116,4901,1226,5000,5000,3265,80,5000,3490,4901,5000,3185,226,5000,173,5000,5000,3145,205,5000,2057,5000,5000,3673,125,5000,1233,5000,2501,3321,522,3880,405,4709,848,1325,193,1394,128,1636,306,305,68,306,116,328,109,106,72,125,45,125,58
