C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3
5000,409,5000,4165,5000,4901,5000,857,5000,730,5000,4901,3656,229,5000,965,5000,4901,5000,442,4901,2516,5000,5000,4426,113,5000,970,5000,2900,2450,450,4610,745,5000,845,1289,148,1697,274,2132,445,405,148,445,148,530,205,226,122,289,136,265,178
4804,442,5000,2837,5000,5000,4901,445,5000,2930,5000,5000,5000,464,4901,3077,5000,5000,4901,250,5000,3130,5000,4901,4337,234,5000,1325,4901,2930,2725,232,4426,554,4901,1066,1341,229,1682,261,1952,449,416,200,530,197,457,194,265,100,221,145,314,122
4426,905,4901,793,5000,4901,4610,436,4901,3176,5000,4901,1597,185,5000,2545,4901,4804,5000,250,5000,4068,5000,4901,5000,401,5000,2120,5000,3490,3825,265,3985,909,5000,1170,1060,226,1585,349,1874,533,416,170,445,157,464,229,257,170,260,136,250,169
3560,229,5000,674,5000,4901,4901,178,4901,3088,4901,5000,3944,218,5000,2977,5000,5000,4349,180,5000,4901,5000,4901,4901,145,4901,1061,5000,2906,2861,545,4100,641,4804,890,1184,173,1546,340,1780,433,388,144,416,153,554,194,200,106,241,125,200,130
4802,241,5000,452,5000,5000,4264,289,5000,2725,5000,4804,3490,153,5000,2692,5000,5000,3725,370,5000,4901,5000,4901,3461,720,5000,842,5000,2824,3697,257,4610,778,4901,1332,1210,208,1352,349,2197,377,409,148,457,181,626,160,257,101,229,122,234,169
5000,360,5000,349,4901,5000,4804,730,5000,2980,5000,4901,4901,170,4901,505,5000,5000,4901,725,4901,797,5000,4901,3973,208,5000,586,4901,2861,2897,205,4436,1300,4901,1153,1378,245,1682,676,2152,388,337,130,490,170,529,205,229,197,208,145,212,212
4608,1226,5000,2405,5000,4901,3176,148,5000,1493,5000,5000,3748,425,5000,3181,5000,4709,4901,136,5000,1885,5000,4802,4426,229,5000,712,5000,2754,2650,370,4608,674,4804,1105,1417,170,2017,314,1949,500,416,101,493,200,625,178,293,145,170,122,272,125
3362,325,5000,4804,5000,4901,4901,1417,4901,3301,5000,4901,4802,452,4901,1088,5000,5000,4901,421,4901,761,5000,4901,2474,1853,4901,1924,5000,2122,2245,369,4517,500,4901,1130,1181,193,1657,290,1961,365,356,261,466,196,533,205,200,144,234,153,298,122
4901,409,5000,2372,5000,4804,549,562,5000,1096,5000,5000,4165,425,4901,452,4901,4901,4525,306,5000,794,5000,4901,1156,785,4901,872,5000,2900,2689,194,4329,797,4901,1089,1170,441,1717,234,1945,400,405,106,449,185,580,146,173,193,225,130,290,109
3362,272,5000,877,5000,4802,4901,680,4901,466,5000,4901,3490,404,5000,346,5000,5000,2545,397,4901,1189,5000,4901,4901,450,5000,1217,5000,2437,3445,458,4240,629,4901,1040,850,340,1460,328,1985,436,340,185,377,122,530,153,185,194,325,106,349,148
